add-none,1,10,20,123243,6162,0
add-yield-none,1,10,20,156335,7816,0
add-none,1,20,40,136940,3423,0
add-yield-none,1,20,40,175761,4394,0
add-none,1,40,80,137725,1721,0
add-yield-none,1,40,80,206877,2585,0
add-none,1,80,160,139416,871,0
add-yield-none,1,80,160,240922,1505,0
add-none,1,100,200,135930,679,0
add-yield-none,1,100,200,350526,1752,0
add-none,1,1000,2000,144092,72,0
add-yield-none,1,1000,2000,1671435,835,0
add-none,1,10000,20000,279004,13,0
add-yield-none,1,10000,20000,15413681,770,0
add-none,1,100000,200000,1538644,7,0
add-yield-none,1,100000,200000,151079979,755,0
add-none,2,10,40,152643,3816,0
add-yield-none,2,10,40,152020,3800,0
add-none,2,20,80,137626,1720,0
add-yield-none,2,20,80,205755,2571,0
add-none,2,40,160,159133,994,0
add-yield-none,2,40,160,224948,1405,9
add-none,2,80,320,154524,482,0
add-yield-none,2,80,320,293327,916,24
add-none,2,100,400,133247,333,0
add-yield-none,2,100,400,303844,759,0
add-none,2,1000,4000,163400,40,0
add-yield-none,2,1000,4000,1828380,457,18
add-none,2,10000,40000,531176,13,-3265
add-yield-none,2,10000,40000,17043235,426,0
add-none,2,100000,400000,4680024,11,7766
add-yield-none,2,100000,400000,165561249,413,60
add-none,4,10,80,167864,2098,0
add-yield-none,4,10,80,207685,2596,10
add-none,4,20,160,201093,1256,0
add-yield-none,4,20,160,209177,1307,8
add-none,4,40,320,191348,597,0
add-yield-none,4,40,320,258664,808,77
add-none,4,80,640,179785,280,77
add-yield-none,4,80,640,324444,506,42
add-none,4,100,800,171941,214,0
add-yield-none,4,100,800,359174,448,44
add-none,4,1000,8000,223138,27,337
add-yield-none,4,1000,8000,2033645,254,48
add-none,4,10000,80000,1074592,13,-11862
add-yield-none,4,10000,80000,18597348,232,59
add-none,4,100000,800000,9068316,11,823
add-yield-none,4,100000,800000,183484070,229,-283
add-none,8,10,160,291275,1820,0
add-yield-none,8,10,160,380259,2376,10
add-none,8,20,320,299759,936,0
add-yield-none,8,20,320,359417,1123,66
add-none,8,40,640,313774,490,0
add-yield-none,8,40,640,774482,1210,35
add-none,8,80,1280,317536,248,0
add-yield-none,8,80,1280,1216676,950,165
add-none,8,100,1600,297657,186,0
add-yield-none,8,100,1600,1440236,900,32
add-none,8,1000,16000,310970,19,0
add-yield-none,8,1000,16000,10302359,643,183
add-none,8,10000,160000,2284820,14,-6411
add-yield-none,8,10000,160000,95309927,595,-2582
add-none,8,100000,1600000,21147879,13,-140127
add-yield-none,8,100000,1600000,409438746,255,-30937
add-none,12,10,240,405164,1688,0
add-yield-none,12,10,240,446949,1862,8
add-none,12,20,480,382370,796,0
add-yield-none,12,20,480,503320,1048,68
add-none,12,40,960,397214,413,0
add-yield-none,12,40,960,666251,694,50
add-none,12,80,1920,426134,221,0
add-yield-none,12,80,1920,1316345,685,185
add-none,12,100,2400,428337,178,0
add-yield-none,12,100,2400,1331547,554,98
add-none,12,1000,24000,401011,16,0
add-yield-none,12,1000,24000,10080466,420,101
add-none,12,10000,240000,3274984,13,-15431
add-yield-none,12,10000,240000,91441323,381,-3532
add-none,12,100000,2400000,33387295,13,-105213
add-yield-none,12,100000,2400000,431210558,179,-23843
add-yield-m,2,10,40,182690,4567,0
add-yield-c,2,10,40,162337,4058,0
add-yield-m,2,20,80,255941,3199,0
add-yield-c,2,20,80,199987,2499,0
add-yield-m,2,40,160,359065,2244,0
add-yield-c,2,40,160,274688,1716,0
add-yield-m,2,80,320,566327,1769,0
add-yield-c,2,80,320,403378,1260,0
add-yield-m,2,100,400,701119,1752,0
add-yield-c,2,100,400,493756,1234,0
add-yield-m,2,1000,4000,6065191,1516,0
add-yield-c,2,1000,4000,3460182,865,0
add-yield-m,2,10000,40000,59962009,1499,0
add-yield-c,2,10000,40000,32183003,804,0
add-yield-m,4,10,80,277268,3465,0
add-yield-c,4,10,80,182435,2280,0
add-yield-m,4,20,160,346888,2168,0
add-yield-c,4,20,160,255295,1595,0
add-yield-m,4,40,320,635212,1985,0
add-yield-c,4,40,320,419573,1311,0
add-yield-m,4,80,640,1145618,1790,0
add-yield-c,4,80,640,690266,1078,0
add-yield-m,4,100,800,1236791,1545,0
add-yield-c,4,100,800,844674,1055,0
add-yield-m,4,1000,8000,11055209,1381,0
add-yield-c,4,1000,8000,7125766,890,0
add-yield-m,4,10000,80000,126301938,1578,0
add-yield-c,4,10000,80000,73947828,924,0
add-yield-m,8,10,160,490716,3066,0
add-yield-c,8,10,160,336495,2103,0
